name,username,userId,can_dm,created_at,bio,tweets_count,followers_count,following_count,favourites_count,location,media_count,profile_banner_url,profile_url,avatar_url,verified,blue_verified
Khloé,khloekardashian,'32959253',false,2009-04-18 14:01:25,,67907,30151121,229,673,,3747,https://pbs.twimg.com/profile_banners/32959253/1705022909,https://www.twitter.com/khloekardashian,https://pbs.twimg.com/profile_images/1745618658351792128/pPtogf8D_normal.jpg,false,true
Kourtney Kardashian,kourtneykardash,'23617610',false,2009-03-10 13:12:52,,14683,26334762,57,7989,,1792,https://pbs.twimg.com/profile_banners/23617610/1543905866,https://www.twitter.com/kourtneykardash,https://pbs.twimg.com/profile_images/1069844856128716801/JwrwtGdH_normal.jpg,false,true
Kris Jenner,KrisJenner,'23613479',false,2009-03-10 12:38:12,"MOM, MANAGER, MOMAGER, LOVER OF LIFE, LOVER OF CHRIST",14581,12571046,287,180,CLOUD NINE,2689,https://pbs.twimg.com/profile_banners/23613479/1682613312,https://www.twitter.com/KrisJenner,https://pbs.twimg.com/profile_images/1148230318911963136/QO3WaOWg_normal.jpg,false,true
Malika,ForeverMalika,'243474622',true,2011-01-26 22:40:52,,8841,1336405,36,80,,2157,https://pbs.twimg.com/profile_banners/243474622/1401952349,https://www.twitter.com/ForeverMalika,https://pbs.twimg.com/profile_images/1776124862098280448/I4MM7WFr_normal.jpg,false,true
Kim Kardashian Updates,AllForKimK,'2310698848',false,2014-01-28 17:37:09,"Fan account, posting the latest news & updates | Kim follows 🤍 | 📩: allforkimk@hotmail.com",5739,132646,115,4178,United Kingdom,2316,https://pbs.twimg.com/profile_banners/2310698848/1705948562,https://www.twitter.com/AllForKimK,https://pbs.twimg.com/profile_images/1749340114528919552/sfAkichh_normal.jpg,false,false
Kardashian World,KUWTKWorld,'3291957791',true,2015-05-20 17:25:32,"The largest fan source for everything Kardashian! 

#TheKardashians streaming on Hulu! 

Kim & Khloe follow ❤️❤️

admin@kardashianworld.net",3147,97327,257,1192,UK,1970,https://pbs.twimg.com/profile_banners/3291957791/1695310481,https://www.twitter.com/KUWTKWorld,https://pbs.twimg.com/profile_images/1704881839482044416/tVSWqLAE_normal.jpg,false,false
North West (parody),norisblackbook,'2830167420',false,2014-09-24 13:14:38,"(Parody) My mom's a superstar all from a home movie. 
IG: norisblackbook 
written by @nataliethehero",6351,147748,2,3274,,578,https://pbs.twimg.com/profile_banners/2830167420/1664844267,https://www.twitter.com/norisblackbook,https://pbs.twimg.com/profile_images/1701649002226409472/bMERpqSw_normal.jpg,false,false
SKIMS,skims,'1149099376968495104',true,2019-07-10 19:33:35,The next generation of underwear and loungewear.,8698,133791,1,6042,,4956,https://pbs.twimg.com/profile_banners/1149099376968495104/1626206895,https://www.twitter.com/skims,https://pbs.twimg.com/profile_images/1619738248468922368/dYCNOxM__normal.jpg,false,false
Kendall,KendallJenner,'157140968',false,2010-06-18 20:03:11,@drink818 on Instagram and Twitter,9659,31675475,103,4863,,1581,https://pbs.twimg.com/profile_banners/157140968/1626900189,https://www.twitter.com/KendallJenner,https://pbs.twimg.com/profile_images/1704304717554200576/yRiRNBar_normal.jpg,false,true
SKKN BY KIM,SKKN,'809877507650424832',true,2016-12-16 16:46:59,A new era of beauty by @kimkardashian Efficacious. Clean. Vegan. Science-backed. Available Now: Makeup,6623,274495,3,1587,,4571,https://pbs.twimg.com/profile_banners/809877507650424832/1705683462,https://www.twitter.com/SKKN,https://pbs.twimg.com/profile_images/1571261662975631362/FV2FAx8j_normal.jpg,false,false
