name,username,userId,can_dm,created_at,bio,tweets_count,followers_count,following_count,favourites_count,location,media_count,profile_banner_url,profile_url,avatar_url,verified,blue_verified
🌎Yale Center for Business and the Environment,YaleCBEY,382783908,false,2011-09-30 13:40:12,"Our mission is to inspire, support, and accelerate the transition to a just and thriving world. Taking a break here. Talk to us on LinkedIn!",6987,4780,688,3744,"Yale University, New Haven",895,https://pbs.twimg.com/profile_banners/382783908/1431695835,https://www.twitter.com/YaleCBEY,https://pbs.twimg.com/profile_images/1677275049559052288/PyxEIbjD_normal.jpg,false,false
Yale ICF,YaleICF,2319464228,false,2014-01-30 15:11:33,Providing academic & professional support for research in financial economics @YaleSOM. #YaleICF #SOMfinfac #ICF_FinancialHistoryFriday #YaleBlockchain,3982,2090,269,2631,"New Haven, CT",982,https://pbs.twimg.com/profile_banners/2319464228/1573678017,https://www.twitter.com/YaleICF,https://pbs.twimg.com/profile_images/1037420397917032448/zwENVZBx_normal.jpg,false,false
Yale Alumni,YaleAlumni,1485527791,false,2013-06-05 13:03:40,"The official account of the Yale Alumni Association 
#YaleAlumni",19552,5857,722,19828,Worldwide,4194,https://pbs.twimg.com/profile_banners/1485527791/1685479010,https://www.twitter.com/YaleAlumni,https://pbs.twimg.com/profile_images/1678824149874081792/PigwZGAI_normal.jpg,false,false
Yale Alumni Magazine,yalealumnimag,60924610,false,2009-07-28 10:57:52,Covering Yale and its alumni since 1891,7756,6935,399,667,"New Haven, CT",2918,https://pbs.twimg.com/profile_banners/60924610/1679592225,https://www.twitter.com/yalealumnimag,https://pbs.twimg.com/profile_images/1059473716738953216/W2xnf_vv_normal.jpg,false,false
Yale Insights,YaleInsights,36769917,true,2009-04-30 16:55:14,"Deepen your knowledge of business and society with expertise from @YaleSOM, the Yale School of Management. Sign up for the newsletter: https://t.co/PuFzVVRnI7",5007,6419,863,1685,"New Haven, CT",426,https://pbs.twimg.com/profile_banners/36769917/1549036846,https://www.twitter.com/YaleInsights,https://pbs.twimg.com/profile_images/877940202161000449/VTSS25h__normal.jpg,false,false
YCCI @ Yale SOM,YaleCCI,121573375,false,2010-03-09 18:00:46,"Yale Center for Customer Insights (YCCI). #behavioralscience + #bigdata learning lab for #marketing, innovation & #insights leaders.",5124,2153,610,1079,New Haven,550,https://pbs.twimg.com/profile_banners/121573375/1398785368,https://www.twitter.com/YaleCCI,https://pbs.twimg.com/profile_images/1711805647933648896/n0cYxiso_normal.jpg,false,false
Harvard University,Harvard,39585367,false,2009-05-12 16:18:09,"Official account for Harvard University. Devoted to excellence in teaching, learning, and research, and to developing leaders who make a difference globally.",50038,1677109,741,10309,"Cambridge, MA",5897,https://pbs.twimg.com/profile_banners/39585367/1704981052,https://www.twitter.com/Harvard,https://pbs.twimg.com/profile_images/875797335342817282/JO5OsmxU_normal.jpg,false,true
Stanford University,Stanford,18036441,true,2008-12-10 20:06:56,One of the world's leading research and teaching institutions. Official account of Stanford University.,21489,1035975,605,265,"Stanford, CA",3808,https://pbs.twimg.com/profile_banners/18036441/1698857204,https://www.twitter.com/Stanford,https://pbs.twimg.com/profile_images/875395483128049664/8z_jvdLB_normal.jpg,false,false
Princeton University,Princeton,5694822,false,2007-05-01 17:04:01,The official account of Princeton University. In the nation’s service and the service of humanity.,47617,545350,1115,19072,"Princeton, NJ",12787,https://pbs.twimg.com/profile_banners/5694822/1704809217,https://www.twitter.com/Princeton,https://pbs.twimg.com/profile_images/1665732087876567041/nnq3OFLb_normal.jpg,false,false
Columbia University,Columbia,248795646,false,2011-02-07 13:58:59,"News, events, ideas, and perspectives from Columbia University in the City of New York. Social media policy: https://t.co/o6XGMp58vK",34324,509244,714,8725,"New York, New York",6182,https://pbs.twimg.com/profile_banners/248795646/1702407578,https://www.twitter.com/Columbia,https://pbs.twimg.com/profile_images/1542819032314683392/guXo5Y-K_normal.jpg,false,false
